accuracy,precision,recall,f1_score,scenario,dataset,fold,seed,window_size,alphabet_size,model_variant,suffix_max_order,suffix_min_context_count,suffix_smoothing_alpha,num_states,num_contexts,num_transitions,transition_density
0.24363636363636362,0.019138755980861243,0.5714285714285714,0.037037037037037035,original,BATADAL,param_search,42,3,4,probabilistic_suffix_tree,4,2,1.0,55,803,1338,0.030295482848409373
0.26181818181818184,0.0196078431372549,0.5714285714285714,0.037914691943127965,original,BATADAL,param_search,42,3,4,probabilistic_suffix_tree,4,3,1.0,55,803,1338,0.030295482848409373
0.14909090909090908,0.02109704641350211,0.7142857142857143,0.040983606557377046,original,BATADAL,param_search,42,3,5,probabilistic_suffix_tree,2,1,1.0,71,245,592,0.03403276803679218
0.17454545454545456,0.017543859649122806,0.5714285714285714,0.03404255319148936,original,BATADAL,param_search,42,3,5,probabilistic_suffix_tree,2,2,1.0,71,245,592,0.03403276803679218
0.2,0.01809954751131222,0.5714285714285714,0.03508771929824561,original,BATADAL,param_search,42,3,5,probabilistic_suffix_tree,2,3,1.0,71,245,592,0.03403276803679218
0.12727272727272726,0.0205761316872428,0.7142857142857143,0.04,original,BATADAL,param_search,42,3,5,probabilistic_suffix_tree,3,1,1.0,71,593,1168,0.0277414911051469
0.15636363636363637,0.017167381974248927,0.5714285714285714,0.03333333333333333,original,BATADAL,param_search,42,3,5,probabilistic_suffix_tree,3,2,1.0,71,593,1168,0.0277414911051469
0.1890909090909091,0.017857142857142856,0.5714285714285714,0.03463203463203463,original,BATADAL,param_search,42,3,5,probabilistic_suffix_tree,3,3,1.0,71,593,1168,0.0277414911051469
0.12363636363636364,0.020491803278688523,0.7142857142857143,0.0398406374501992,original,BATADAL,param_search,42,3,5,probabilistic_suffix_tree,4,1,1.0,71,1169,1969,0.02372317738767937
0.15636363636363637,0.017167381974248927,0.5714285714285714,0.03333333333333333,original,BATADAL,param_search,42,3,5,probabilistic_suffix_tree,4,2,1.0,71,1169,1969,0.02372317738767937
0.1890909090909091,0.017857142857142856,0.5714285714285714,0.03463203463203463,original,BATADAL,param_search,42,3,5,probabilistic_suffix_tree,4,3,1.0,71,1169,1969,0.02372317738767937
0.11272727272727273,0.027888446215139442,1.0,0.05426356589147287,original,BATADAL,param_search,42,3,6,probabilistic_suffix_tree,2,1,1.0,99,354,862,0.024596244935227985
0.14181818181818182,0.02880658436213992,1.0,0.056,original,BATADAL,param_search,42,3,6,probabilistic_suffix_tree,2,2,1.0,99,354,862,0.024596244935227985
0.15272727272727274,0.029166666666666667,1.0,0.05668016194331984,original,BATADAL,param_search,42,3,6,probabilistic_suffix_tree,2,3,1.0,99,354,862,0.024596244935227985
0.10181818181818182,0.027559055118110236,1.0,0.05363984674329502,original,BATADAL,param_search,42,3,6,probabilistic_suffix_tree,3,1,1.0,99,863,1628,0.019054976181279774
0.13090909090909092,0.028455284552845527,1.0,0.05533596837944664,original,BATADAL,param_search,42,3,6,probabilistic_suffix_tree,3,2,1.0,99,863,1628,0.019054976181279774
0.14909090909090908,0.029045643153526972,1.0,0.056451612903225805,original,BATADAL,param_search,42,3,6,probabilistic_suffix_tree,3,3,1.0,99,863,1628,0.019054976181279774
0.10181818181818182,0.027559055118110236,1.0,0.05363984674329502,original,BATADAL,param_search,42,3,6,probabilistic_suffix_tree,4,1,1.0,99,1629,2595,0.01609092769313764
0.13090909090909092,0.028455284552845527,1.0,0.05533596837944664,original,BATADAL,param_search,42,3,6,probabilistic_suffix_tree,4,2,1.0,99,1629,2595,0.01609092769313764
0.14909090909090908,0.029045643153526972,1.0,0.056451612903225805,original,BATADAL,param_search,42,3,6,probabilistic_suffix_tree,4,3,1.0,99,1629,2595,0.01609092769313764
0.2048780487804878,0.041176470588235294,1.0,0.07909604519774012,original,BATADAL,param_search,42,4,3,probabilistic_suffix_tree,2,1,1.0,65,185,366,0.030436590436590437
0.2634146341463415,0.038461538461538464,0.8571428571428571,0.0736196319018405,original,BATADAL,param_search,42,4,3,probabilistic_suffix_tree,2,2,1.0,65,185,366,0.030436590436590437
0.2780487804878049,0.0392156862745098,0.8571428571428571,0.075,original,BATADAL,param_search,42,4,3,probabilistic_suffix_tree,2,3,1.0,65,185,366,0.030436590436590437
0.16585365853658537,0.03932584269662921,1.0,0.07567567567567568,original,BATADAL,param_search,42,4,3,probabilistic_suffix_tree,3,1,1.0,65,367,618,0.02590651854957032
