dataset,scenario,order,smoothing_alpha,decision_mode,score_window,score_threshold,max_mapping_distance,dirichlet_alpha,dirichlet_prior_mode,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
SKAB,gaussian_noise,3,0.5,avg_negative_log,10,0.2231,,0.05,uniform,0.5968020204741571,0.14985756125466362,0.4862605877156916,0.19694399648072092,0.5597587876715274,0.3077049373299726,0.4758733494787278,0.19819196815304596,0.05091218372849919,233.6,423.2
SKAB,gaussian_noise,3,0.5,avg_negative_log,10,0.2231,,0.05,unigram,0.5968377666761231,0.14986370269536198,0.4862950626238127,0.19694247037108825,0.5597587876715274,0.3077049373299726,0.4758966676552464,0.19820176779808032,0.05091218372849919,233.6,423.2
SKAB,gaussian_noise,3,0.5,avg_negative_log,10,0.2231,,0.1,backoff,0.5967306553941857,0.1497664090387581,0.48617831945298534,0.1968461450541541,0.5592610270978373,0.30748551183736655,0.47561005454954114,0.19809865305160732,0.05091218372849919,233.6,423.2
SKAB,gaussian_noise,3,0.5,avg_negative_log,10,0.2231,,0.1,uniform,0.5966236687343742,0.14984250030180227,0.48610627205619095,0.1969588257602672,0.5598590382980938,0.30773056915522284,0.4758004975990383,0.198156724275184,0.05091218372849919,233.6,423.2
SKAB,gaussian_noise,3,0.5,avg_negative_log,10,0.2231,,0.1,unigram,0.5966236687343742,0.14984250030180227,0.48610627205619095,0.1969588257602672,0.5598590382980938,0.30773056915522284,0.4758004975990383,0.198156724275184,0.05091218372849919,233.6,423.2
SKAB,gaussian_noise,3,0.5,avg_negative_log,10,0.2231,,0.5,backoff,0.5968007526382195,0.14986013911046733,0.4872123916376966,0.19831161921095908,0.5592610270978373,0.30748551183736655,0.4756661968130114,0.1979982472791945,0.05091218372849919,233.6,423.2
SKAB,gaussian_noise,3,0.5,avg_negative_log,10,0.2231,,0.5,uniform,0.5958717051909352,0.1499391074554547,0.4856158442391192,0.19716425906204288,0.561460052035773,0.30823125548960034,0.4760933264795267,0.1977759875393075,0.05091218372849919,233.6,423.2
SKAB,gaussian_noise,3,0.5,avg_negative_log,10,0.2231,,0.5,unigram,0.5958359589889691,0.14989965673788505,0.4855865665485677,0.19714282737423824,0.5613605495482108,0.3081519352494946,0.47603653405821283,0.19770894380310616,0.05091218372849919,233.6,423.2
SKAB,gaussian_noise,3,0.5,avg_negative_log,10,0.2231,,1.0,backoff,0.596872624312199,0.14998407092270372,0.4873388357270337,0.1984290015643635,0.5592610270978373,0.30748551183736655,0.47573892497720316,0.1980964725201626,0.05091218372849919,233.6,423.2
SKAB,gaussian_noise,3,0.5,avg_negative_log,10,0.2231,,1.0,uniform,0.595521009998214,0.14979149520470875,0.4860248012398683,0.19617359313722682,0.5647683227124647,0.3088563981729532,0.4773173974462154,0.19674385677092546,0.05091218372849919,233.6,423.2
