dataset,fold,seed,method,scenario,window_size,alphabet_size,merge_alpha,min_state_count,smoothing_alpha,distance_penalty,min_anomaly_run,min_validation_recall,selected_threshold,minimum_block_length,minimum_sum_margin,baseline_selected,sample_count,actual_anomaly_count,unseen_count,accuracy,precision,recall,f1_score
SKAB,4,42,persistence_baseline,gaussian_noise,4,3,0.01,10,0.1,0.0,5,0.7,0.012653297886790427,5,0.0,True,1095,416,2,0.5324200913242009,0.44366197183098594,0.9086538461538461,0.5962145110410094
SKAB,4,42,persistence_plus_block_confidence,gaussian_noise,4,3,0.01,10,0.1,0.0,5,0.7,0.012653297886790427,5,0.0,True,1095,416,2,0.5324200913242009,0.44366197183098594,0.9086538461538461,0.5962145110410094
SKAB,4,42,persistence_baseline,unseen_data,4,3,0.01,10,0.1,0.0,5,0.7,0.012653297886790427,5,0.0,True,2,0,2,0.0,0.0,0.0,0.0
SKAB,4,42,persistence_plus_block_confidence,unseen_data,4,3,0.01,10,0.1,0.0,5,0.7,0.012653297886790427,5,0.0,True,2,0,2,0.0,0.0,0.0,0.0
SKAB,4,123,persistence_baseline,original,4,3,0.05,10,1.0,0.0,8,0.7,-0.11973807049218688,8,10.569931140401016,False,1095,416,2,0.5095890410958904,0.4302191464821223,0.8966346153846154,0.5814497272018706
SKAB,4,123,persistence_plus_block_confidence,original,4,3,0.05,10,1.0,0.0,8,0.7,-0.11973807049218688,8,10.569931140401016,False,1095,416,2,0.5863013698630137,0.4693200663349917,0.6802884615384616,0.5554465161923454
SKAB,4,123,persistence_baseline,gaussian_noise,4,3,0.05,10,1.0,0.0,8,0.7,-0.11973807049218688,8,10.569931140401016,False,1095,416,2,0.5178082191780822,0.4339622641509434,0.8846153846153846,0.5822784810126582
SKAB,4,123,persistence_plus_block_confidence,gaussian_noise,4,3,0.05,10,1.0,0.0,8,0.7,-0.11973807049218688,8,10.569931140401016,False,1095,416,2,0.589041095890411,0.47194719471947194,0.6875,0.5596868884540117
SKAB,4,123,persistence_baseline,unseen_data,4,3,0.05,10,1.0,0.0,8,0.7,-0.11973807049218688,8,10.569931140401016,False,2,0,2,1.0,0.0,0.0,0.0
SKAB,4,123,persistence_plus_block_confidence,unseen_data,4,3,0.05,10,1.0,0.0,8,0.7,-0.11973807049218688,8,10.569931140401016,False,2,0,2,1.0,0.0,0.0,0.0
SKAB,4,2026,persistence_baseline,original,4,3,0.05,10,0.1,0.0,8,0.7,-0.07591201549612603,13,0.0,False,1095,416,2,0.5342465753424658,0.44183168316831684,0.8581730769230769,0.5833333333333334
SKAB,4,2026,persistence_plus_block_confidence,original,4,3,0.05,10,0.1,0.0,8,0.7,-0.07591201549612603,13,0.0,False,1095,416,2,0.5598173515981735,0.45634920634920634,0.8293269230769231,0.5887372013651877
SKAB,4,2026,persistence_baseline,gaussian_noise,4,3,0.05,10,0.1,0.0,8,0.7,-0.07591201549612603,13,0.0,False,1095,416,2,0.554337899543379,0.4539641943734015,0.8533653846153846,0.5926544240400667
SKAB,4,2026,persistence_plus_block_confidence,gaussian_noise,4,3,0.05,10,0.1,0.0,8,0.7,-0.07591201549612603,13,0.0,False,1095,416,2,0.6009132420091324,0.4856361149110807,0.8533653846153846,0.6190061028770706
SKAB,4,2026,persistence_baseline,unseen_data,4,3,0.05,10,0.1,0.0,8,0.7,-0.07591201549612603,13,0.0,False,2,0,2,0.0,0.0,0.0,0.0
SKAB,4,2026,persistence_plus_block_confidence,unseen_data,4,3,0.05,10,0.1,0.0,8,0.7,-0.07591201549612603,13,0.0,False,2,0,2,0.0,0.0,0.0,0.0
SKAB,4,7,persistence_baseline,original,4,3,0.05,10,0.1,0.0,8,0.7,-0.07591201549612603,13,0.0,False,1095,416,2,0.5342465753424658,0.44183168316831684,0.8581730769230769,0.5833333333333334
SKAB,4,7,persistence_plus_block_confidence,original,4,3,0.05,10,0.1,0.0,8,0.7,-0.07591201549612603,13,0.0,False,1095,416,2,0.5598173515981735,0.45634920634920634,0.8293269230769231,0.5887372013651877
SKAB,4,7,persistence_baseline,gaussian_noise,4,3,0.05,10,0.1,0.0,8,0.7,-0.07591201549612603,13,0.0,False,1095,416,2,0.5187214611872146,0.43272727272727274,0.8581730769230769,0.5753424657534246
SKAB,4,7,persistence_plus_block_confidence,gaussian_noise,4,3,0.05,10,0.1,0.0,8,0.7,-0.07591201549612603,13,0.0,False,1095,416,2,0.5150684931506849,0.42857142857142855,0.8293269230769231,0.5651105651105651
SKAB,4,7,persistence_baseline,unseen_data,4,3,0.05,10,0.1,0.0,8,0.7,-0.07591201549612603,13,0.0,False,2,0,2,0.0,0.0,0.0,0.0
SKAB,4,7,persistence_plus_block_confidence,unseen_data,4,3,0.05,10,0.1,0.0,8,0.7,-0.07591201549612603,13,0.0,False,2,0,2,0.0,0.0,0.0,0.0
SKAB,4,999,persistence_baseline,original,4,3,0.05,10,0.1,0.0,8,0.7,-0.07591201549612603,13,0.0,False,1095,416,2,0.5342465753424658,0.44183168316831684,0.8581730769230769,0.5833333333333334
SKAB,4,999,persistence_plus_block_confidence,original,4,3,0.05,10,0.1,0.0,8,0.7,-0.07591201549612603,13,0.0,False,1095,416,2,0.5598173515981735,0.45634920634920634,0.8293269230769231,0.5887372013651877
