fold,seed,scenario,baseline_accuracy,baseline_precision,baseline_recall,baseline_f1_score,baseline_predicted_anomaly_count,baseline_raw_predicted_anomaly_count,baseline_validation_f1_score,baseline_validation_precision,baseline_validation_recall,hysteresis_accuracy,hysteresis_precision,hysteresis_recall,hysteresis_f1_score,hysteresis_predicted_anomaly_count,hysteresis_raw_predicted_anomaly_count,hysteresis_validation_f1_score,hysteresis_validation_precision,hysteresis_validation_recall,hysteresis_baseline_selected,hysteresis_high_threshold,hysteresis_low_threshold,hysteresis_hysteresis_width,hysteresis_min_anomaly_run,actual_hysteresis_selected,accuracy_difference,precision_difference,recall_difference,f1_score_difference,predicted_anomaly_count_difference,f1_winner
2,7,gaussian_noise,0.5720720720720721,0.4339622641509434,0.635678391959799,0.5158002038735984,583,583,0.556,0.6915422885572139,0.4648829431438127,0.4378378378378378,0.3611793611793611,0.7386934673366834,0.4851485148514851,814,814,0.6321353065539113,0.4621329211746522,1.0,False,0.4388979705544817,-2.113397916414109,2.552295886968591,1,True,-0.1342342342342343,-0.0727829029715823,0.10301507537688437,-0.030651689022113293,231,baseline
2,7,original,0.5756756756756757,0.4378194207836456,0.6457286432160804,0.5218274111675127,587,587,0.556,0.6915422885572139,0.4648829431438127,0.4378378378378378,0.3611793611793611,0.7386934673366834,0.4851485148514851,814,814,0.6321353065539113,0.4621329211746522,1.0,False,0.4388979705544817,-2.113397916414109,2.552295886968591,1,True,-0.13783783783783787,-0.0766400596042845,0.09296482412060303,-0.036678896316027665,227,baseline
2,42,gaussian_noise,0.445045045045045,0.387396694214876,0.942211055276382,0.5490483162518301,968,968,0.527117031398668,0.3654353562005277,0.9453924914675768,0.5378378378378378,0.427307206068268,0.8492462311557789,0.5685449957947856,791,968,0.5416666666666666,0.3898050974512743,0.8873720136518771,False,-0.0210274508973906,-0.0210274508973906,0.0,12,True,0.09279279279279279,0.039910511853392006,-0.09296482412060314,0.01949667954295542,-177,hysteresis
2,42,original,0.4477477477477477,0.38860103626943,0.942211055276382,0.5502567865003668,965,965,0.527117031398668,0.3654353562005277,0.9453924914675768,0.5477477477477477,0.4346733668341708,0.8693467336683417,0.5795644891122278,796,965,0.5416666666666666,0.3898050974512743,0.8873720136518771,False,-0.0210274508973906,-0.0210274508973906,0.0,12,True,0.09999999999999998,0.046072330564740804,-0.07286432160804035,0.029307702611860997,-169,hysteresis
2,123,gaussian_noise,0.445045045045045,0.3869294605809129,0.9371859296482412,0.5477239353891337,964,964,0.527117031398668,0.3654353562005277,0.9453924914675768,0.5423423423423424,0.4314214463840399,0.8693467336683417,0.5766666666666667,802,964,0.5416666666666666,0.3898050974512743,0.8873720136518771,False,-0.0210274508973906,-0.0210274508973906,0.0,12,True,0.09729729729729736,0.04449198580312702,-0.06783919597989951,0.028942731277532996,-162,hysteresis
2,123,original,0.4477477477477477,0.38860103626943,0.942211055276382,0.5502567865003668,965,965,0.527117031398668,0.3654353562005277,0.9453924914675768,0.5477477477477477,0.4346733668341708,0.8693467336683417,0.5795644891122278,796,965,0.5416666666666666,0.3898050974512743,0.8873720136518771,False,-0.0210274508973906,-0.0210274508973906,0.0,12,True,0.09999999999999998,0.046072330564740804,-0.07286432160804035,0.029307702611860997,-169,hysteresis
2,999,gaussian_noise,0.3585585585585585,0.3585585585585585,1.0,0.5278514588859416,1110,1110,0.5274336283185841,0.3581730769230769,1.0,0.4333333333333333,0.358974358974359,0.7386934673366834,0.4831552999178307,819,819,0.7184466019417476,0.5627376425855514,0.9932885906040269,False,0.2153356669539133,-4.4788379426623575,4.694173609616271,1,True,0.07477477477477479,0.00041580041580047133,-0.2613065326633166,-0.044696158968110966,-291,baseline
2,999,original,0.3585585585585585,0.3585585585585585,1.0,0.5278514588859416,1110,1110,0.5274336283185841,0.3581730769230769,1.0,0.4351351351351351,0.3598531211750306,0.7386934673366834,0.4839506172839506,817,817,0.7184466019417476,0.5627376425855514,0.9932885906040269,False,0.2153356669539133,-4.4788379426623575,4.694173609616271,1,True,0.07657657657657657,0.0012945626164720947,-0.2613065326633166,-0.043900841601991036,-293,baseline
2,2026,gaussian_noise,0.5657657657657658,0.4285714285714285,0.6331658291457286,0.5111561866125761,588,588,0.556,0.6915422885572139,0.4648829431438127,0.4621621621621621,0.3735705209656925,0.7386934673366834,0.4962025316455696,787,787,0.6321353065539113,0.4621329211746522,1.0,False,0.4388979705544817,-2.113397916414109,2.552295886968591,1,True,-0.10360360360360366,-0.055000907605736005,0.10552763819095479,-0.014953654967006513,199,baseline
2,2026,original,0.5756756756756757,0.4378194207836456,0.6457286432160804,0.5218274111675127,587,587,0.556,0.6915422885572139,0.4648829431438127,0.4378378378378378,0.3611793611793611,0.7386934673366834,0.4851485148514851,814,814,0.6321353065539113,0.4621329211746522,1.0,False,0.4388979705544817,-2.113397916414109,2.552295886968591,1,True,-0.13783783783783787,-0.0766400596042845,0.09296482412060303,-0.036678896316027665,227,baseline
