dataset,decision_mode,order,smoothing_alpha,score_window,score_threshold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
BATADAL,avg_negative_log,4,0.01,3,2.6593,0.5951219512195122,0.0,0.06818181818181818,0.0,0.8571428571428571,0.0,0.12631578947368421,0.0,0.021832213094349018,618.0,877.0
BATADAL,avg_negative_log,3,0.01,3,2.5257,0.5902439024390244,0.0,0.06741573033707865,0.0,0.8571428571428571,0.0,0.125,0.0,0.023245060949978982,366.0,553.0
BATADAL,avg_negative_log,3,0.1,3,2.8134,0.5902439024390244,0.0,0.06741573033707865,0.0,0.8571428571428571,0.0,0.125,0.0,0.023245060949978982,366.0,553.0
BATADAL,avg_negative_log,4,0.1,3,2.8134,0.5902439024390244,0.0,0.06741573033707865,0.0,0.8571428571428571,0.0,0.125,0.0,0.021832213094349018,618.0,877.0
BATADAL,avg_negative_log,2,0.01,3,3.912,0.7268292682926829,0.0,0.07017543859649122,0.0,0.5714285714285714,0.0,0.125,0.0,0.02516722408026756,184.0,301.0
BATADAL,avg_negative_log,2,0.01,3,2.6593,0.5804878048780487,0.0,0.06593406593406594,0.0,0.8571428571428571,0.0,0.12244897959183673,0.0,0.02516722408026756,184.0,301.0
BATADAL,avg_negative_log,4,0.01,3,2.5257,0.5804878048780487,0.0,0.06593406593406594,0.0,0.8571428571428571,0.0,0.12244897959183673,0.0,0.021832213094349018,618.0,877.0
BATADAL,avg_negative_log,3,0.01,5,2.9957,0.6487804878048781,0.0,0.06666666666666667,0.0,0.7142857142857143,0.0,0.12195121951219512,0.0,0.023245060949978982,366.0,553.0
BATADAL,avg_negative_log,3,0.1,5,2.9957,0.6487804878048781,0.0,0.06666666666666667,0.0,0.7142857142857143,0.0,0.12195121951219512,0.0,0.023245060949978982,366.0,553.0
BATADAL,avg_negative_log,2,0.01,10,2.8134,0.5024390243902439,0.0,0.06422018348623854,0.0,1.0,0.0,0.12068965517241378,0.0,0.02516722408026756,184.0,301.0
BATADAL,avg_negative_log,2,0.01,5,3.2189,0.6439024390243903,0.0,0.06578947368421052,0.0,0.7142857142857143,0.0,0.12048192771084336,0.0,0.02516722408026756,184.0,301.0
BATADAL,avg_negative_log,4,0.01,5,2.9957,0.6439024390243903,0.0,0.06578947368421052,0.0,0.7142857142857143,0.0,0.12048192771084336,0.0,0.021832213094349018,618.0,877.0
BATADAL,avg_negative_log,2,0.1,3,2.8134,0.5707317073170731,0.0,0.06451612903225806,0.0,0.8571428571428571,0.0,0.12,0.0,0.02516722408026756,184.0,301.0
BATADAL,avg_negative_log,2,0.1,5,2.9957,0.6341463414634146,0.0,0.0641025641025641,0.0,0.7142857142857143,0.0,0.11764705882352941,0.0,0.02516722408026756,184.0,301.0
BATADAL,avg_negative_log,4,0.1,5,2.9957,0.6341463414634146,0.0,0.0641025641025641,0.0,0.7142857142857143,0.0,0.11764705882352941,0.0,0.021832213094349018,618.0,877.0
BATADAL,avg_negative_log,4,0.01,10,2.6593,0.48292682926829267,0.0,0.061946902654867256,0.0,1.0,0.0,0.11666666666666667,0.0,0.021832213094349018,618.0,877.0
BATADAL,avg_negative_log,3,0.01,10,2.6593,0.47317073170731705,0.0,0.06086956521739131,0.0,1.0,0.0,0.11475409836065573,0.0,0.023245060949978982,366.0,553.0
BATADAL,avg_negative_log,2,0.01,5,2.9957,0.6146341463414634,0.0,0.06097560975609756,0.0,0.7142857142857143,0.0,0.11235955056179776,0.0,0.02516722408026756,184.0,301.0
BATADAL,avg_negative_log,3,0.1,3,2.6593,0.4536585365853659,0.0,0.058823529411764705,0.0,1.0,0.0,0.11111111111111112,0.0,0.023245060949978982,366.0,553.0
BATADAL,avg_negative_log,2,0.1,3,2.6593,0.4439024390243903,0.0,0.057851239669421496,0.0,1.0,0.0,0.109375,0.0,0.02516722408026756,184.0,301.0
